priority,fta_no,name,city,postal,phone,email,website,president,group_hint,ctq_search_url,ctq_dump_filename,req_search_url,req_dump_filename
17,512,Autobus Allard inc.,La Tuque,G9X 3S1,819-523-3300,direction.chevrette@sogetel.net,,Claude Bédard,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,512.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Allard+inc.,512.html
18,525,Autobus Alton (1993) inc.,Saint-Ubalde,G0A 4L0,418-277-2972,m.benoit@phytronix.com,,Jacques Benoit,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,525.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Alton+%281993%29+inc.,525.html
19,265,Autobus B. Vallières inc.,Saint-Henri,G0R 3E0,418-882-5953,william@autobusbvallieres.ca,,Nicolas Vallières,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,265.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+B.+Valli%C3%A8res+inc.,265.html
20,107,Autobus Beauregard inc. (Les),Mont-Saint-Hilaire,J3H 0L6,450-467-2571,info@autobusbeauregard.com,,Marc-Olivier Beauregard,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,107.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Beauregard+inc.+%28Les%29,107.html
21,312,Autobus Ben-Val inc.,Saint-Cyrille-de-Wendover,J1Z 1R9,819-397-4971,jonathanh@autobusbenval.com,,Mireille Vallières,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,312.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Ben-Val+inc.,312.html
22,394,Autobus Benoit & Fils inc.,Saint-Armand,J0J 1T0,450-248-9045,autobusbenoit@gmail.com,,Christian Benoit,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,394.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Benoit+%26+Fils+inc.,394.html
23,660,Autobus Bernard Vallières inc.,St-Bernard,G0S 2G0,418-389-5596,autbvallieres@live.ca,,Jocelyn Pelchat,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,660.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Bernard+Valli%C3%A8res+inc.,660.html
24,818,Autobus Bibeau inc.,Yamaska,J0G 1W0,450-789-0757,info@autobusbibeau.ca,,Jasmin Bibeau,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,818.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Bibeau+inc.,818.html
25,66,Autobus Biencourt inc.,Biencourt,G0K 1T0,418-499-2371,autobuslavoie@gmail.com,,Raymond Lavoie,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,66.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Biencourt+inc.,66.html
26,612,Autobus Bilodeau inc.,Saint-Sylvestre,G0S 3C0,418-596-2442,autobusbilodeau@gmail.com,,Gaston Bilodeau,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,612.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Bilodeau+inc.,612.html
27,217,Autobus Boulet & Fils inc.,Thetford Mines,G6G 7W1,418-335-3681,autobuspleinsoleilinc@gmail.com,,Chantal Demers,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,217.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Boulet+%26+Fils+inc.,217.html
28,1506,Autobus Bélanger et Fils (2018) inc.,L'Isle-Verte,G0L 1L0,418-868-5800,mbelanger1957@hotmail.com,,Maurice Bélanger,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1506.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+B%C3%A9langer+et+Fils+%282018%29+inc.,1506.html
29,1554,Autobus Champagne inc.,Saint-Georges-de-Beauce,G5Y 8J6,418-225-6568,autobuschampagne@gmail.com,,Alain Champagne,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1554.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Champagne+inc.,1554.html
30,88,Autobus Charland ltée (Les),Warwick,J0A 1M0,819-358-5855,autobuscharland@hotmail.com,,Mario Charland,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,88.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Charland+lt%C3%A9e+%28Les%29,88.html
31,132,Autobus Cyr inc. (Les),Saint-Elzéar-de-Beauce,G0S 2J0,418-387-7905,davehlr@hotmail.com,,Dave Berthiaume,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,132.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Cyr+inc.+%28Les%29,132.html
32,39,Autobus Côté & Fils inc. (Les),Milot,G0W 2B0,418-373-2321,langiscote@derytele.com,,Langis Côté,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,39.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+C%C3%B4t%C3%A9+%26+Fils+inc.+%28Les%29,39.html
33,507,Autobus Denis Bourré inc.,Notre-Dame-de-Montauban,G0X 1W0,418-336-2089,autobus.bourre@globetrotter.net,,Denis Bourré,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,507.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Denis+Bourr%C3%A9+inc.,507.html
34,720,Autobus Denis inc.,Trois-Pistoles,G0L 4K0,418-851-4494,autobusdenis@hotmail.ca,,Serge Denis,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,720.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Denis+inc.,720.html
35,36,Autobus Deschênes inc.,Sacré-Coeur,G0T 1Y0,418-236-9102,autobusdeschenes@live.ca,,Rodrigue Deschênes,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,36.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Desch%C3%AAnes+inc.,36.html
36,802,Autobus Donald Lévesque inc.,St-Bruno-de-Kamouraska,G0L 2M0,418-492-7723,autobusdonaldlevesque@gmail.com,,Donald Lévesque,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,802.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Donald+L%C3%A9vesque+inc.,802.html
37,68,Autobus Doyon inc.,Saint-Frédéric,G0N 1P0,418-334-3543,stationlkl@bell.net,,Luc Doyon,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,68.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Doyon+inc.,68.html
38,1359,Autobus F. Lavoie (9183-4218 Québec inc.),Esprit-Saint,G0K 1A0,418-779-2119,francesca.lavoie@hotmail.com,,Francesca Lavoie,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1359.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+F.+Lavoie+%289183-4218+Qu%C3%A9bec+inc.%29,1359.html
39,37,Autobus Fecteau inc.,Saint-Victor,G0M 2B0,418-588-5000,autobusfecteau@gmail.com,,Simon Fecteau,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,37.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Fecteau+inc.,37.html
40,632,Autobus Fillion et Fils inc.,Labrecque,G0W 2S0,418-481-2934,patrice.fillion@sympatico.ca,,Patrice Fillion,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,632.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Fillion+et+Fils+inc.,632.html
41,98,Autobus Fournier inc.,Saint-Damien,G0R 2Y0,418-789-3480,autobusfournier@comptabilitemv.com,,Marco Fournier,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,98.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Fournier+inc.,98.html
42,1388,Autobus France Vachon,St-Isidore-de-Clifton,J0B 2X0,819-345-6751,autobusfv@gmail.com,,France Vachon,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1388.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+France+Vachon,1388.html
43,643,Autobus Frédéric Gilbert inc.,Ferland-et-Boilleau,G0V 1H0,418-541-0669,fgilbert252@yahoo.fr,,Frédéric Gilbert,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,643.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Fr%C3%A9d%C3%A9ric+Gilbert+inc.,643.html
44,1007,Autobus G.D. inc. (Les),St-Eustache,J7R 4K3,450-473-2313,isabellegd@videotron.ca,,Gaston Giroux,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1007.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+G.D.+inc.+%28Les%29,1007.html
45,340,Autobus Gendron inc. (Les),Saint-Roch-de-Richelieu,J0L 2M0,450-743-3454,busmarcel60@live.ca,,Marcel Gendron,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,340.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Gendron+inc.+%28Les%29,340.html
46,1112,Autobus Germain & Fils inc.,Saint-Adelphe,G0X 2G0,418-322-5816,autobusgermainetfils@globetrotter.net,,Marco Germain,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1112.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Germain+%26+Fils+inc.,1112.html
47,1321,Autobus Gilbert Poulin,"Port-Menier, Île-d'Anticosti",G0G 2Y0,418-535-0353,anneportable@live.ca,,Gilbert Poulin,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1321.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Gilbert+Poulin,1321.html
48,1377,Autobus Gill 2015,Mashteuiatsh,G0W 2H0,418-637-8701,autobusgill2015@hotmail.com,,Carole Gill,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1377.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Gill+2015,1377.html
49,1236,Autobus Girard & Fils (9080-7652 Québec inc.),Saint-Félicien,G8K 2Y8,418-515-3633,autobusgirard@hotmail.com,,Stéphane Girard,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1236.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Girard+%26+Fils+%289080-7652+Qu%C3%A9bec+inc.%29,1236.html
50,91,Autobus Grenier inc.,Les Coteaux,J7X 1G4,450-267-9723,autobus.grenier@outlook.com,,Alexandre Grenier,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,91.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Grenier+inc.,91.html
51,87,Autobus J M S inc.,Saint-Jean-de-Dieu,G0L 3M0,418-851-4494,autobusdenis@hotmail.ca,,Jean-Michel Denis,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,87.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+J+M+S+inc.,87.html
52,1156,Autobus J. Leblanc inc.,Saint-Germain,J0C 1K0,819-395-2860,jocelyn@autobusleblanc.com,,Jocelyn Leblanc,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1156.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+J.+Leblanc+inc.,1156.html
53,1081,Autobus J.R.G. inc.,Charette,G0X 1E0,819-221-2168,autobusjrg@sogetel.net,,Jean Gélinas,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1081.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+J.R.G.+inc.,1081.html
54,1205,Autobus Jean-Yves Audet inc.,Saint-Irénée,G0T 1V0,418-452-3364,autobus.jyaudet@live.ca,,Roberto Audet,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1205.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Jean-Yves+Audet+inc.,1205.html
55,1493,Autobus Jimmy (9285-2094 Québec inc.),Ste-Élisabeth-de-Proulx,G8L 8A4,418-630-1548,jimytrembler@hotmail.com,,Jimmy Tremblay,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,1493.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Jimmy+%289285-2094+Qu%C3%A9bec+inc.%29,1493.html
56,958,Autobus Kamouraska inc.,Kamouraska,G0L 1M0,418-492-5190,autobuskamouraska@hotmail.com,,Mélanie Beaulieu,,https://www.pes.ctq.gouv.qc.ca/pes2/mvc/dossierclient?voletContexte=RECHERCHE_GLOBAL_MENU,958.html,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?Mode=Simple&Texte=Autobus+Kamouraska+inc.,958.html
